지점,지점명,일시,Aerosol,Temp_avg,Temp_min,Temp_max,Humidity,sunshine time,Total daylight hours,cloud cover,cumulative UV,Maximum UV
129,서산,2020-01-01,39.6,-0.3,-7.1,5.2,76.8,9.7,3.2,8.8,0.312,0.045
129,서산,2020-01-02,127.2,1.4,-3.2,5.6,83,9.7,0.6,8.4,0.214,0.03
129,서산,2020-01-03,171.9,0.7,-3.7,6.5,80.3,9.7,7.8,5.4,0.383,0.041
129,서산,2020-01-04,144,0.1,-4.3,8,81,9.7,5.8,2.5,0.351,0.032
129,서산,2020-01-05,92.7,0.9,-6,7.4,61.5,9.7,6.9,4.9,0.416,0.047
129,서산,2020-01-06,79.4,3.3,0.8,4.8,86.4,9.8,0,10,0.112,0.014
129,서산,2020-01-07,12.9,8.2,4.8,13.1,98,9.8,0,9.8,0.054,0.011
129,서산,2020-01-08,97.9,3.5,2.4,7.3,83.6,9.8,0,7.8,0.06,0.011
129,서산,2020-01-09,76.2,0.4,-3.7,4.3,72.6,9.8,7.5,3.8,0.424,0.05
129,서산,2020-01-10,109.5,-0.9,-4.5,5.1,81.1,9.8,8.3,6.4,0.448,0.047
129,서산,2020-01-11,77.5,0.8,-3.5,5.9,74.8,9.8,7.6,6.8,0.43,0.045
129,서산,2020-01-12,31.4,1.2,-1.4,4.6,64.3,9.9,6.5,7,0.275,0.05
129,서산,2020-01-13,18.4,0,-3.2,2,61.3,9.9,6.3,5.9,0.354,0.036
129,서산,2020-01-14,44,-0.9,-4.1,3.5,67.8,9.9,3.4,7,0.34,0.032
129,서산,2020-01-15,41,-1.5,-5.2,3.5,72,9.9,7.4,3.6,0.472,0.049
129,서산,2020-01-16,57.3,-1.4,-5.5,3.3,63.1,9.9,8.1,7.9,0.479,0.045
129,서산,2020-01-17,75.5,-1.4,-5.3,4.9,65.6,10,6.7,4.6,0.432,0.041
129,서산,2020-01-18,49,-1,-6.6,6.1,69,10,9.1,1.8,0.497,0.05
129,서산,2020-01-19,184.3,1.7,-3.7,7.4,71.9,10,5.7,6.6,0.372,0.034
